Service Type,Provider Name,Address,City,State,ZipCode,Longitude,Latitude
Child Care Resource and Referral (CCR&R),4C of Southern Indiana,414 SE 4th Street Suite 102,Evansville,IN,47713,-87.56824,37.968052
Child Care Resource and Referral (CCR&R),Chances and Services for Youth (CASY),1101 S. 13th Street,Terre Haute,IN,47802,-87.39762,39.455555
Child Care Resource and Referral (CCR&R),"Early Learning Connections, Geminus CCR&R",8400 Louisiana Street,Merrillville,IN,46410,-87.31985,41.466274
Child Care Resource and Referral (CCR&R),The Child Care Resource Network,817 Woodmere Drive,Lafayette,IN,47905,-86.836975,40.425808
Child Care Resource and Referral (CCR&R),Child Care Answers,615 N Alabama St. Suite 300,Indianapolis,IN,46204,-86.15232,39.77565
Child Care Resource and Referral (CCR&R),Bona Vista Programs/Child Care Solutions,123 North Buckeye,Kokomo,IN,46904,-86.1349188,40.4872457
Child Care Resource and Referral (CCR&R),Huffer Memorial Children's Center,3413 W. Fox Ridge Ln,Muncie,IN,47304,-85.42671,40.220673
Child Care Resource and Referral (CCR&R),Early Childhood Alliance,3320 Fairfield Avenue,Fort Wayne,IN,46807,-85.14481,41.054855
Child Care Resource and Referral (CCR&R),Southeastern Indiana Economic Opportunity Corp. (S.I.E.O.C.),110 Importing Street,Aurora,IN,47001,-84.89879,39.057217
