Service Type,Provider Name,Address,City,State,ZipCode,Longitude,Latitude
TANF (cash assistance),Elkhart County DFR,225 East Jackson Blvd,Elkhart,IN,46516,-85.975784,41.686733
TANF (cash assistance),Bartholomew County DFR,2330 Poshard Drive,Columbus,IN,47203,-85.8985,39.248985
TANF (cash assistance),Wabash County DFR,403 South Cass Street,Wabash,IN,46992,-85.82568,40.802578
TANF (cash assistance),Kosciusko County DFR,2307 E. Center Street Suite E,Warsaw,IN,46580,-85.82552,41.237984
TANF (cash assistance),Floyd County DFR,824 University Woods Drive Suite 11,New Albany,IN,47150,-85.81568,38.328693
TANF (cash assistance),Hancock County DFR,1290 North State Street Suite A,Greenfield,IN,46140,-85.76981,39.80057
TANF (cash assistance),Grant County DFR,830 N. Miller Avenue,Marion,IN,46952,-85.69315,40.569965
TANF (cash assistance),Huntington County DFR,1175 Etna Avenue,Huntington,IN,46750,-85.50037,40.870018
TANF (cash assistance),Whitley County DFR,543 N. Line Street Suite B,Columbia City,IN,46725,-85.49148,41.16707
TANF (cash assistance),Rush County DFR,148 E. US Highway 52,Rushville,IN,46173,-85.44249,39.601242
TANF (cash assistance),Warrick County DFR,911 W. Main Street,Boonville,IN,46701,-85.43755,41.395668
TANF (cash assistance),Delaware County DFR,1107 S. Tillotson Avenue Suite 2,Muncie,IN,47304,-85.4191,40.1835
TANF (cash assistance),Jefferson County DFR,493 W. Hutchinson Lane Suite A,Madison,IN,47250,-85.39636,38.78534
TANF (cash assistance),Henry County DFR,517 New York Avenue,New Castle,IN,47362,-85.37917,39.9351
TANF (cash assistance),Ripley County DFR,888 S. Adams Street,Versailles,IN,47042,-85.25721,39.05898
TANF (cash assistance),Allen County DFR,201 E. Rudisill Boulevard Suite 302,Fort Wayne,IN,46806,-85.13455,41.0501
TANF (cash assistance),Fayette County DFR,1501 N. Eastern Avenue,Connersville,IN,47331,-85.13084,39.65017
TANF (cash assistance),Switzerland County DFR,1035 W. Main Street Suite 3,Vevay,IN,47043,-85.08174,38.73911
TANF (cash assistance),DeKalb County DFR,1390 South Grandstaff Drive,Auburn,IN,46706,-85.07137,41.358902
